ID,ID_Description,Item_Name,Zone,Obtained,Description,,,,,,,,
100,FrenchFries,유명 브랜드 감자튀김,1,FALSE,왁도날드 감자튀김/짭조름한 맛이 일품이다. 인형들이 환장하는 인기 간식이다.,,,,,,,,
101,FishBones,생선 대가리,1,FALSE,살이 남지 않은 생선/집주인이 생선을 먹고 나온 잔여물이다. 빨리 처리하지 않으면 집안의 악취가 진동할 것이다. 참고로 뿔 고래 인형이 보면 슬퍼할 수도 있다.,,,,,,,,
102,BrokenPottery,공룡이 깨드린 항아리,1,FALSE,집 주인이 매우 아끼던 항아리/공룡인형이 실수로 깨트리고 몰래 숨겨놓았다.,,,,,,,,
103,WineGlass,도수 60의 와인 한잔,1,FALSE,쓴 향이 나는 와인잔/인형들이 먹을 수는 없지만 닿게 된다면 술 냄새가 진동하게 된다. 참고로 공룡 인형이 냉장고에 있는 이유는 와인을 마시고 자신이 술에 취했다고 착각해서 냉장고에 가게 됐다는 이야기도 있다.,,,,,,,,
104,ChineseKnife,요리사 인형의 칼,1,FALSE,요리사 인형이 사용했던 칼/요리사 인형이 이사하게 되면서 놓고 갔다. 비밀로 요리사 인형은 요리를 한 번도 한 적이 없다.,,,,,,,,
105,ForkSpoonSet,식사 예절 포크 수저세트,1,FALSE,아이가 사용한 포크와 수저세트/참고로 모험가 인형이 처음에 포크를 보고 창인 줄 알고 멋지다 생각하고 사용했다가 요리사 인형에게 포크라는 것을 듣고 부끄러워하면서 버렸다.,,,,,,,,
106,CupCake,하루 권장 칼로리 컵 케이크,1,FALSE,먹으면 살이 찌는 컵 케이크/사람들이 먹고 나서 살이 쪄서 커지는 것을 보고 인형들도 먹으려고 하지만 애초에 먹지도 못하고 인형들이 덩치가 커지는 것도 아니다. 하지만 러버덕은 자신도 아빠 곰처럼 커지려고 계속 먹을려고 한다.,,,,,,,,
200,HalloweenPumpkin,잠들어 있는 호박,2,FALSE,평소에는 평범한 핼러윈 호박/핼러윈 때는 살아서 돌아다닌다는 전설이 존재하는 호박이다. 만약 핼러윈 때 돌아다니는 호박을 만나서 같이 놀아주면 사탕을 준다는 전설이 있다. 그래서 단것을 좋아하는 꿀벌 인형이 매번 핼러윈마다 호박을 찾아다닌다.,,,,,,,,
201,AcousticGuitar,유대의 통기타,2,FALSE,집들이 선물로 주는 통기타/딱히 비싸거나 특별한 게 있는 것이 아닌 기타이지만 이 집에서 곰 인형과 같이 있는 상징물 중 하나이다.,,,,,,,,
202,CandyCane,산타만 좋아하는 사탕,2,FALSE,맛없는 크리스마스 사탕/만약 크리스마스에 인형이 사탕을 가지고 벽난로에 있으면 밤중에 산타가 데리고 간다는 이야기가 있다. 그래서 크리스마스마다 사탕을 가지고 벽난로에 있는 인형들이 있기는 있다.,,,,,,,,
203,ToyShovel,장난감 삽,2,FALSE,아기가 사용했던 장난감 삽/집주인 아이가 좋아하는 물건이어서 인형들이 건드리려고 하지는 않는다. 참고로 눈사람 인형이 보면 제설작업이 생각난다고 무서워한다.,,,,,,,,
204,RecordCoin,부정한 동전,2,FALSE,왕 인형이 제일 좋아하는 물건/인형들의 반란으로 왕 인형은 집에서 쫓겨났다. 현재는 부정한 행동을 하는 인형이 생기지 않게 각인시켜 주는 상징으로 남아있다.,,,,,,,,
205,WoodenTrain,순례의 나무 기차,2,FALSE,인형의 이동 수단인 기차/인형들이 점점 늘어나면서 기차 부품으로 집을 만들게 되어 현재는 운행할 수 없는 상태이다. 그로 인해 인형들 간의 왕래가 적어지면서 물 위에만 있는 러버덕은 가끔 외로움을 느낀다.,,,,,,,,
300,BlueStar,안식의 푸른 별,3,FALSE,어두운 밤에 빛이 돼주는 별/밤마다 토끼 인형은 다른 인형들 몰래 별에 찾아와 친구들의 추억을 떠올린다.,,,,,,,,
301,RemoteControl,고장난 만능 리모콘,3,FALSE,과학자 인형이 개조한 리모컨/과학자 인형이 떠나가고 얼마 안 지나 고장이 나게 되어 사용해도 아무런 효과가 없다. 참고로 눈사람 인형 에어컨을 작동시킬 수 없게 되어 아쉬워한다.,,,,,,,,
302,Cube,알록달록 큐브,3,FALSE,알록달록한 네모난 큐브/다양한 색이 있어서 인형들이 좋아한다. 매번 모험가 인형이 모험에서는 퍼즐을 풀어야 한다며 도전하지만 항상 실패한다. 놀라운 사실은 인형 중 이 큐브의 색들을 전부 맞춘 인형은 곰과 뿔 고래 인형뿐이다.,,,,,,,,
303,WoodenShield,모험가의 낡은 방패,3,FALSE,모험가가 낡아서 버린 방패/현재 모험가의 방패가 더 멋지긴 하다. 좀 나중에 일어난 일이지만 눈사람 인형이 썰매로 쓰고 싶어 찾다가 포기했다.,,,,,,,,
304,GoldenChessPiece,승리의 체스말,3,FALSE,게임에서 승리 후 킹이 된 폰/여담으로 게임을 했던 인형은 양 인형과 토끼 인형이었다. 승자는 토끼 인형이었지만 양 인형이 기분이 안 좋은 토끼 인형을 봐준 거라는 이야기가 있다.,,,,,,,,
305,LightSaber,푸른 빛 벼려진 검,3,FALSE,로봇 근처에서 발견한 광선검/푸른빛이 은은히 나는 게 확실히 멋있다. 아쉽게도 휘두를 때 윙윙거리는 소리가 나지는 않는다. 언젠가 모험가 인형은 로봇이 이 광선검을 가지고 자신과 1 대 1 대결을 해주길 바라고 있다.,,,,,,,,
306,TechDeck,곰 인형의 이동수단,3,FALSE,이동 수단인 스케이트보드/곰 인형을 태운 뒤 움직여 주기 위한 물품이다. 참고로 곰 인형이 운전해 주는 인형은 공룡과 양 인형이다. 그래서 둘은 하체가 튼튼하다.,,,,,,,,
